Name,Value.1. open,Value.2. high,Value.3. low,Value.4. close,Value.5. volume
2018-08-21 11:15:00,214.8000,214.8100,214.6700,214.7105,43114
2018-08-21 11:14:00,214.9000,214.9000,214.8100,214.8599,41996
2018-08-21 11:13:00,214.8132,214.9200,214.8132,214.9050,47811
2018-08-21 11:12:00,214.7600,214.7898,214.7100,214.7898,18270
2018-08-21 11:11:00,214.7500,214.7800,214.6710,214.7600,48135
2018-08-21 11:10:00,214.7300,214.7300,214.6300,214.7100,46001
2018-08-21 11:09:00,214.6800,214.7300,214.6800,214.7300,35750
2018-08-21 11:08:00,214.6900,214.7000,214.6600,214.7000,41674
2018-08-21 11:07:00,214.6700,214.6900,214.6700,214.6800,33486
2018-08-21 11:06:00,214.6500,214.6900,214.6500,214.6800,43088
2018-08-21 11:05:00,214.6950,214.7150,214.6400,214.6869,30205
2018-08-21 11:04:00,214.6400,214.7300,214.6100,214.7200,36526
2018-08-21 11:03:00,214.7050,214.7100,214.6500,214.6535,39906
2018-08-21 11:02:00,214.7265,214.7381,214.5700,214.7200,45656
2018-08-21 11:01:00,214.6900,214.7700,214.6631,214.7350,33150
2018-08-21 11:00:00,214.7050,214.7701,214.7000,214.7100,46301
2018-08-21 10:59:00,214.7500,214.8300,214.7100,214.7100,48097
2018-08-21 10:58:00,214.7200,214.7800,214.7200,214.7300,18883
2018-08-21 10:57:00,214.7790,214.7790,214.7000,214.7000,29891
2018-08-21 10:56:00,214.7200,214.8500,214.6200,214.7998,84423
2018-08-21 10:55:00,214.7025,214.7105,214.6800,214.6993,34474
2018-08-21 10:54:00,214.7250,214.7250,214.6800,214.7000,65903
2018-08-21 10:53:00,214.7100,214.7700,214.6700,214.7300,43163
2018-08-21 10:52:00,214.7700,214.7700,214.5801,214.6300,86977
2018-08-21 10:51:00,214.8200,214.8275,214.7600,214.8100,61239
2018-08-21 10:50:00,214.9341,214.9500,214.8050,214.8050,59874
2018-08-21 10:49:00,214.9400,214.9400,214.8900,214.9400,42183
2018-08-21 10:48:00,214.9100,214.9400,214.8700,214.9362,40596
2018-08-21 10:47:00,215.0800,215.0800,214.9200,214.9300,104019
2018-08-21 10:46:00,215.1600,215.1900,215.1500,215.1599,29620
2018-08-21 10:45:00,215.2200,215.2300,215.1500,215.1500,37601
2018-08-21 10:44:00,215.2500,215.2500,215.2300,215.2400,34844
2018-08-21 10:43:00,215.1400,215.2039,215.1100,215.2039,37107
2018-08-21 10:42:00,215.3100,215.3500,215.1400,215.1400,71804
2018-08-21 10:41:00,215.2700,215.3054,215.2146,215.3054,31958
2018-08-21 10:40:00,215.3200,215.3200,215.1500,215.1800,63572
2018-08-21 10:39:00,215.2499,215.3400,215.2300,215.2750,68004
2018-08-21 10:38:00,215.1005,215.2600,215.1005,215.2389,82254
2018-08-21 10:37:00,215.0605,215.1022,215.0300,215.1022,258867
2018-08-21 10:36:00,214.9900,215.0900,214.9900,215.0600,82508
2018-08-21 10:35:00,214.8800,214.9625,214.8620,214.9625,70458
2018-08-21 10:34:00,214.7700,214.8000,214.7100,214.8000,50898
2018-08-21 10:33:00,214.8978,214.8978,214.7500,214.7700,59954
2018-08-21 10:32:00,214.9500,214.9700,214.9000,214.9200,34512
2018-08-21 10:31:00,215.0077,215.0200,214.8700,214.9200,47910
2018-08-21 10:30:00,214.8884,215.0218,214.8000,214.9800,65699
2018-08-21 10:29:00,215.1400,215.1400,214.9000,214.9000,78081
2018-08-21 10:28:00,214.8900,215.1500,214.8900,215.0967,92017
2018-08-21 10:27:00,214.8400,214.8400,214.7600,214.8400,62406
2018-08-21 10:26:00,214.9100,214.9100,214.8099,214.8600,53410
2018-08-21 10:25:00,214.9000,214.9600,214.8400,214.9300,61687
2018-08-21 10:24:00,215.0700,215.0700,214.8900,214.9500,68183
2018-08-21 10:23:00,215.0700,215.0999,215.0490,215.0700,81421
2018-08-21 10:22:00,214.8771,215.1000,214.8771,215.0702,100808
2018-08-21 10:21:00,214.7000,214.9000,214.6200,214.8800,102048
2018-08-21 10:20:00,214.7500,214.7700,214.6374,214.7211,96112
2018-08-21 10:19:00,214.7451,214.7451,214.5900,214.7200,97956
2018-08-21 10:18:00,214.7100,214.8410,214.6930,214.7319,116381
2018-08-21 10:17:00,214.5815,214.7400,214.5800,214.7300,118066
2018-08-21 10:16:00,214.5019,214.5600,214.4500,214.5600,125668
2018-08-21 10:15:00,214.2900,214.5000,214.2900,214.4700,154502
2018-08-21 10:14:00,214.3219,214.4599,214.1900,214.2400,206549
2018-08-21 10:13:00,214.3700,214.4200,214.2500,214.3100,132923
2018-08-21 10:12:00,214.1050,214.3500,214.0400,214.3500,180330
2018-08-21 10:11:00,214.3300,214.4135,214.1099,214.1348,248077
2018-08-21 10:10:00,214.5700,214.5700,214.1200,214.3054,315397
2018-08-21 10:09:00,214.6300,214.7900,214.5400,214.5500,154100
2018-08-21 10:08:00,214.8500,214.9600,214.6000,214.6000,202062
2018-08-21 10:07:00,214.9950,215.0000,214.8596,214.8596,102964
2018-08-21 10:06:00,215.1800,215.1800,214.8210,214.9800,347039
2018-08-21 10:05:00,215.2200,215.3300,215.1300,215.2000,118577
2018-08-21 10:04:00,215.3200,215.3200,215.2100,215.2200,137437
2018-08-21 10:03:00,215.3300,215.3600,215.2750,215.3300,104515
2018-08-21 10:02:00,215.3000,215.4000,215.2802,215.3111,108759
2018-08-21 10:01:00,215.4800,215.5400,215.2800,215.3000,130653
2018-08-21 10:00:00,215.5612,215.6900,215.4800,215.4800,125697
2018-08-21 09:59:00,215.4500,215.5300,215.3901,215.5300,90208
2018-08-21 09:58:00,215.6300,215.6405,215.4500,215.4500,177888
2018-08-21 09:57:00,215.9300,215.9300,215.6500,215.6800,122252
2018-08-21 09:56:00,215.7515,215.9200,215.7515,215.9000,79404
2018-08-21 09:55:00,215.9861,215.9861,215.7700,215.7700,84521
2018-08-21 09:54:00,215.9600,216.0200,215.9300,215.9800,130460
2018-08-21 09:53:00,215.8000,215.9900,215.7950,215.9600,64667
2018-08-21 09:52:00,215.8100,215.9200,215.7800,215.7950,87241
2018-08-21 09:51:00,215.7000,215.8100,215.7000,215.8000,97644
2018-08-21 09:50:00,215.8400,215.8700,215.7416,215.7416,64282
2018-08-21 09:49:00,215.9000,215.9300,215.7800,215.8300,57142
2018-08-21 09:48:00,215.9360,215.9800,215.8315,215.8800,64534
2018-08-21 09:47:00,215.9950,216.0127,215.8100,215.9100,96280
2018-08-21 09:46:00,216.1300,216.1499,215.9700,216.0000,104982
